fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220910 194405	-0.560133366993978	2597.25851259247	668.640166492522	15	5	19586666.6666667	1
20220910 194416	-0.854610533340019	1263.79977776224	131.502944955355	8	5	21693333.3333333	2
20220910 194427	-0.309722590116144	3695.71408053294	252.04119638355	9	5	19173333.3333333	3
20220910 194440	-0.713400469973567	4833.57111754174	376.197671050788	13	5	18840000	4
20220910 194453	-0.418161060426792	2263.67272231152	578.652716701341	11	5	20186666.6666667	5
20220910 194459	-0.125155630406516	4584.56335807426	880.463386336603	3	5	17720000	6
20220910 194512	-0.729148368923052	3382.3206188194	491.995476096228	20	5	19306666.6666667	7
20220910 194522	-0.380860552166996	982.56014874122	66.4275614297658	7	5	22400000	8
20220910 194534	-0.873647068232822	1946.68985364359	839.079693987936	10	5	19520000	9
20220910 194548	-0.192203646352573	3905.05921054826	710.250269683209	19	5	19360000	10
20220910 194555	-0.611103689970332	4182.38310992993	348.478546662751	5	5	19386666.6666667	11
20220910 194604	0.0310102713905509	2852.68082994498	27.8552840077173	15	5	-1040000	12
20220910 194621	-0.967831369604392	853.011623777042	225.561041156878	17	5	21093333.3333333	13
20220910 194628	-0.0758315276223583	1649.53275529423	809.019837296248	4	5	19386666.6666667	14
20220910 194648	-0.128251655667554	429.126828812063	8.90280865482055	17	5	17640000	15
20220910 194654	-0.778865884372499	3141.94286258507	902.783355970634	4	5	19186666.6666667	16
20220910 194703	-0.236488417330979	1339.96087222293	668.449062218165	3	5	18760000	17
20220910 194728	-0.444398372417707	6.37978031090559	1.59156398259764	20	5	11586666.6666667	18
20220910 194743	-0.637446421632404	1013.66175349848	30.7559768655089	10	5	21746666.6666667	19
20220910 194804	-0.5174415047192	1658.61335245702	17.5610721572357	16	5	19453333.3333333	20
20220910 194811	-0.949105783636712	989.168180885994	6.67272816773999	3	5	17626666.6666667	21
20220910 194831	-0.795654181184358	1195.89276986237	579.938121285113	20	5	20280000	22
20220910 194856	-0.401981199239445	919.312186425879	1.39906918744052	16	5	20373333.3333333	23
20220910 194913	-0.489042097548983	3839.60495392187	999.949324676231	15	5	19120000	24
20220910 194921	-0.657047683508376	2265.48229436055	358.829518064825	3	5	18973333.3333333	25
20220910 194934	-0.486593194255295	1176.9272401165	15.5962640534692	7	5	20666666.6666667	26
